Campaign Name,Ad Set Name,Ad Name,Primary Text,Headline,Description,Call To Action,Link URL,Media File Name
"SOE - Acquisition (Wave 2)","AdSet - Purpose-Driven Families & Teachers","Ad 11 - Origin Story","When my children entered school, the daily routine lacked music, dance, and creative exploration in favor of repetitive digital drills.

I spent four years developing The Sound of Essentials from the ground up.

Guided by Seriphia and 14 hero characters across 7 Lands, this 19-track audio curriculum covers 5 core developmental domains for children ages 2 to 7.

We provide the music freely because every child deserves a strong foundation.

🎵 Stream the complete 19-track album free below.","A Social Enterprise for Kids","Global. Diverse. Free.",LEARN_MORE,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta4&utm_content=ad11_origin_story,ad06_holographic_universe.jpg
"SOE - Acquisition (Wave 5)","AdSet - Anti-Algorithm & Screen Detox Families","Ad 12 - The Enemy","Children struggle with focus when digital algorithms deliver high-frequency stimulation without meaningful context.

The Sound of Essentials centers on rhythm, vocal cadence, and rich storytelling. Nineteen acoustic songs calm the developing nervous system while building early reading readiness.

Created for ages 2 to 7 with zero screen fatigue. Staying on the path, always learning.

🎧 Enjoy calm, focused listening by streaming free below.","Built for Brains, Not Algorithms","A mission, not a product.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta1&utm_content=ad12_the_enemy,ad08_anti_cocomelon_detox.jpg
"SOE - Acquisition (Wave 2)","AdSet - Community Seekers & Early Educators","Ad 13 - Social Proof Cascade","Over 1,200 families and classrooms across 14 countries use The Sound of Essentials in their daily learning rhythms.

""Our mornings transformed from chaos to calm within three days.""
""My four-year-old learned French days of the week just by dancing to Le Cheval.""
""The audio curriculum my kindergarten students ask for every afternoon.""

Nineteen songs across 7 developmental Lands, screen-free for ages 2 to 7.

🎵 Explore the learning sanctuary free with the link below.","Music Learning for Every Child 🌍","Join the movement today.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta4&utm_content=ad13_social_proof,ad01_feel_felt_found.jpg
"SOE - Acquisition (Wave 3)","AdSet - Creative & Imaginative Learners","Ad 14 - Dream State","Imagine learning as an adventure through 7 distinct lands.

In Harmonia, children discover rhythm and speech with Kenji and Aiko. In Numeria, they skip-count to hand drums with Kwame and Octavia. In Aquaria, ocean melodies teach calm emotional balance with Ronan and Nerissa. In Terrasol, Silas and Vesta introduce nature and science.

Fifteen hero mentors guided by Seriphia adapt to every child's pace for ages 2 to 7.

Curiosity leads the way without tests or pressure.

✨ Explore the 7 Lands free below.","Which Character Will They Love?","Kids choose their own path.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta5&utm_content=ad14_dream_state,ad10_aida_heroes_quest.jpg
"SOE - Acquisition (Wave 4)","AdSet - Parents of 2–7 Year Olds","Ad 15 - Scarcity/Urgency","The developmental window between ages 2 and 7 happens once.

During these early years, neural networks for language, tone discrimination, and mathematical patterns form at peak speed.

Support this window with acoustic rhythm, multilingual phonics, and whole-body movement instead of passive screen loops.

The full 19-track Sound of Essentials album is streaming free today.

🎵 Start your family's access while the developmental window is open.","19 Songs. 7 Worlds. 100% Free.","No credit card required.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta2&utm_content=ad15_urgency,ad02_myth_deflection.jpg
"SOE - Acquisition (Wave 1)","AdSet - Mindful Sovereign Parents","Ad 16 - Us vs. Them","Parents face a daily choice between passive screen scrolling and active musical exploration.

One path leaves children watching autoplay clips. The other inspires them to sing days of the week in three languages, describe nature concepts, and ask to visit Harmonia at bedtime.

The Sound of Essentials supports parents who choose active curiosity: 19 songs, 7 Lands, and 15 hero mentors, streaming free for ages 2 to 7.

🎵 Choose the quest for your family with the link below.","Replace Junk Content With This","No ads. No algorithm.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta1&utm_content=ad16_us_vs_them,ad03_before_after_bridge.jpg
"SOE - Acquisition (Wave 4)","AdSet - Low-Friction Trial Seekers","Ad 17 - Micro-Commitment Ladder","Step 1: Listen to a 60-second preview of Le Cheval.

Step 2: When your child smiles, play a full track such as ""Do You Know What Time It Is?"" in Celestia.

Step 3: Meet the 15 characters to see whether they connect with Kenji, Amara, Felix, or Octavia.

Step 4: Download the companion coloring sheets.

Step 5: Let the music guide your daily routine.

Seven Lands, 19 songs, and free streaming for ages 2 to 7.

🎵 Begin with Step 1 below.","Unlock the Full Rhythm Quest 🎵","No credit card required.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta5&utm_content=ad17_micro_commitment,ad07_morning_routine.jpg
"SOE - Acquisition (Wave 5)","AdSet - Educational Innovators","Ad 18 - Curiosity Gap","A father spent four years creating an early learning world that surprises parents when they first hear it.

Seven Lands, 15 hero characters, 19 original songs in 3 languages, 157 illustrated scenes, and 4,000+ vocabulary words in the companion dictionary create a complete early curriculum for ages 2 to 7.

Built independently for his own family, it is now shared freely with homes and classrooms worldwide.

🎵 Discover the music and stories with the link below.","A Social Enterprise for Kids","Global. Diverse. Free.",LEARN_MORE,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta3&utm_content=ad18_curiosity_gap,ad06_holographic_universe.jpg
"SOE - Acquisition (Wave 5)","AdSet - Montessori & World Music Enthusiasts","Ad 19 - Analogy Bridge","Combine the self-directed domain learning of Montessori, the memorable characters of classic children's television, and the rich instrumentation of global world music.

The Sound of Essentials brings those elements together through early brain science.

Children explore 7 Lands with 15 relatable characters while listening to West African drums, French lyrical cadences, and Latin percussion.

Nineteen songs across 7 Lands, streaming free for ages 2 to 7.

🎵 Experience a fresh approach to learning music below.","A Musical Universe for Young Minds","Start the adventure today.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta5&utm_content=ad19_analogy_bridge,ad01_feel_felt_found.jpg
"SOE - Acquisition (Wave 5)","AdSet - Homeschool & Early Ed Pioneers","Ad 20 - Countdown/Timeline","Day 1: School music and art budgets face cuts.
Day 100: Dedicated creative time disappears from classrooms.
Day 365: A father completes an independent early learning music curriculum.
Day 400: Over 1,000 families bring acoustic rhythm into their morning routines.
Today: Your child can start listening in seconds.

The young mind grows rapidly during these formative years. Built for ages 2 to 7.

🎵 The 19-track album streams free. Tap below to begin.","Explore 7 Magical Lands Free 🌍","Join the movement today.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta4&utm_content=ad20_timeline,ad09_pas_classroom_to_sanctuary.jpg
"SOE - Acquisition (Wave 1)","AdSet - Art & Music Education Advocates","Ad 21 - One-Line Knockout","When school systems called arts education non-essential, we built The Sound of Essentials.

Neuroscience demonstrates that rhythm, vocal melody, and physical movement form the core of early literacy and numeracy. A father created this curriculum to restore what schools removed.

Nineteen original songs, 7 Lands, and 15 hero mentors built for ages 2 to 7.

The music stays free for every family.

🎵 Listen to the full curriculum below.","Built for Brains, Not Algorithms","A mission, not a product.",LEARN_MORE,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta2&utm_content=ad21_one_line_knockout,ad04_contrarian_drums.jpg
"SOE - Acquisition (Wave 3)","AdSet - Storytelling & Character Lovers","Ad 22 - Nested Loop","Seriphia, the guardian learning mother, welcomes children at the entrance of the 7 Lands.

She introduces Kenji and Aiko in Harmonia to teach vocal rhythm and speech patterns, Kwame and Octavia in Numeria to turn skip-counting into rhythm, and Felix and Amara in Vitalis to get kids moving.

Through the 7 Lands, children build strong foundations in language, math, and coordination without pressure.

Nineteen songs, streaming free for ages 2 to 7.

🎵 Step into the 7 Lands with the link below.","Meet the Characters of Rhythm Quest","15 guides. 19 songs. Free.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta4&utm_content=ad22_nested_loop,ad10_aida_heroes_quest.jpg
"SOE - Acquisition (Wave 5)","AdSet - Tired Parents Seeking Relief","Ad 23 - Permission Slip","Give yourself permission to turn off frantic cartoon videos without guilt.

Young children do not require flashing neon screens to stay engaged; they thrive on steady rhythm and acoustic melody.

The Sound of Essentials offers rich instrumentation and cheerful call-and-response songs that engage curiosity while keeping the home environment calm for ages 2 to 7.

🎵 Stream the calming learning playlist free below.","Better Than Baby Shark. Way Better.","Parents love it too.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta1&utm_content=ad23_permission_slip,ad05_challenge_clapping.jpg
"SOE - Acquisition (Wave 1)","AdSet - Data-Driven & STEM Parents","Ad 24 - Shocking Stat","Controlled clinical studies demonstrate that 10 minutes of daily musical rhythm practice strengthens phonological awareness in preschoolers as effectively as formal phonics drills.

Rhythmic coordination engages auditory and motor networks simultaneously in the early brain.

The Sound of Essentials applies this neuro-affirming foundation across 7 Lands for ages 2 to 7.

Nineteen songs, screen-free and streaming free today.

📊 Read the research and listen to the tracks below.","Music + Neuroscience Builds Early Minds","5 developmental domains.",LEARN_MORE,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta2&utm_content=ad24_shocking_stat,ad02_myth_deflection.jpg
"SOE - Acquisition (Wave 3)","AdSet - Multicultural & Multilingual Families","Ad 25 - Third-Person Witness","A Chicago kindergarten teacher described her classroom experience:

""I played The Sound of Essentials during our drawing block. Within 20 minutes, 18 five-year-olds were clapping in rhythm, singing the French lyrics to Le Cheval, and focused entirely on their artwork. I had never seen the class so settled and engaged.""

Intentional acoustic tempos and multilingual melodies support focus for ages 2 to 7.

🎵 Bring this focused calm to your home or classroom free below.","See Your Child in These Heroes","Free in 3 languages.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta3&utm_content=ad25_third_person,ad07_morning_routine.jpg
"SOE - Acquisition (Wave 3)","AdSet - Homeschool & Stressed Parents","Ad 26 - Confession/Vulnerability","I used to feel exhausted turning on the television just to prepare dinner without chaos.

I wanted my children engaged in meaningful learning, but after a long workday, running a structured home lesson felt out of reach.

I created The Sound of Essentials to provide an easy alternative where music carries the instruction. Nineteen tracks teach phonics, numbers, and coordination while dinner cooks, tailored for ages 2 to 7.

Screen-free calm and complete peace of mind.

🎵 Free for every parent who needs a supportive breather below.","A Social Enterprise for Kids","A mission, not a product.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta4&utm_content=ad26_confession,ad01_feel_felt_found.jpg
"SOE - Acquisition (Wave 4)","AdSet - Active Kids & Playful Learners","Ad 27 - Trojan Horse","Children think they are simply enjoying a living room dance party with Felix and Amara.

In practice, their brains are practicing syllable segmentation, bilateral coordination, and phonemic awareness.

Moving to musical rhythm helps lock in language and reading pathways far more effectively than stationary worksheets.

Nineteen songs across 7 Lands for ages 2 to 7. Free streaming today.

🎵 Join the learning dance party with the link below.","Free Music That Teaches Kids","Instant access. No spam.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta5&utm_content=ad27_trojan_horse,ad04_contrarian_drums.jpg
"SOE - Acquisition (Wave 4)","AdSet - Value & Quality Conscious Buyers","Ad 28 - Comparative Anchor","Early learning subscription apps often charge $12.99 to $19.99 every month for screen-heavy games.

The Sound of Essentials delivers a complete 19-track developmental music library free of charge.

Fifteen character guides across 7 Lands apply Dalcroze and Kodály principles for ages 2 to 7.

No recurring subscriptions or mandatory upgrades, just wholesome acoustic education.

🎵 Access your family's free album below.","19 Songs. 7 Worlds. 100% Free.","Educational + enjoyable.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta3&utm_content=ad28_comparative,ad08_anti_cocomelon_detox.jpg
"SOE - Acquisition (Wave 2)","AdSet - Analytical Parents & Speech Therapists","Ad 29 - Mechanism Explainer","Why does musical rhythm accelerate early reading readiness?

Rhythmic pulse provides the temporal framework that spoken language requires. Clapping to syllables activates the auditory cortex and motor control simultaneously.

The Sound of Essentials builds this dual-activation mechanism into every song across 7 Lands for ages 2 to 7.

Nineteen original tracks, streaming free today.

🧠 Hear the science in action with the link below.","Brain-Building Music for Kids","Stream free. Learn forever.",LEARN_MORE,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta2&utm_content=ad29_mechanism,ad02_myth_deflection.jpg
"SOE - Acquisition (Wave 4)","AdSet - Pioneering Conscious Families","Ad 30 - Identity Shift","You are nurturing an explorer, not just preparing a test-taker.

A child who moves to rhythm, trusts their curiosity, and approaches learning with confidence.

The Sound of Essentials: Rhythm Quest supports families who believe early childhood deserves song, wonder, and meaningful connection. Crafted with a father's heart and mother's love.

Nineteen songs, 7 Lands, and 15 hero guides, free for every family.

🎵 Join over 1,000 questing families below.","Your Child's New Favorite Songs","Join 1,000+ families today",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta5&utm_content=ad30_identity_shift,ad05_challenge_clapping.jpg
